  Research Vessel Schedules from https://www.researchvessels.org

<http://www.researchvessels.org/ship_info_display.asp?shipID=122>
This schedule for this ship was last updated on: 1/15/2002 2:41:34 PM

Field Key
Ship Name 	Departure Date 	Departure Port 	General Area 	Discipline
Endeavor    	8/3/2006    	Woods Hole, MA   	  	unk   	NA6  
Endeavor    	8/24/2006    	Woods Hole, MA   	  	unk   	NA6  
Endeavor    	9/14/2006    	Narragansett, RI   	  	unk   	NA6  
Endeavor    	9/19/2006    	Woods Hole, MA   	  	unk   	NA6  
Endeavor    	10/11/2006    	Woods Hole, MA   	  	unk   	NA6  
Endeavor    	10/12/2006    	Narragansett, RI   	  	unk   	 
Endeavor    	1/10/2007    	Narragansett RI USA   	N J Shelf   	  	NA6,
Endeavor    	1/10/2007    	Narragansett   	N W Atlantic   	unk   	NA6  
Endeavor    	1/24/2007    	Narragansett   	  	transit   	NA6  
Endeavor    	1/24/2007    	Narragansett RI USA   	Transit   	  	 
Endeavor    	1/30/2007    	Charleston, SC   	  	geo   	NA6  
Endeavor    	1/30/2007    	Charleston SC USA   	  	  	NA6, NA6  
Endeavor    	2/4/2007    	Charleston SC USA   	Transit   	  	 
Endeavor    	2/5/2007    	Charleston, SC   	  	transit   	NA6  
Endeavor    	2/18/2007    	Narragansett   	N W Atlantic   	unk   	NA6  
Endeavor    	2/18/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	3/12/2007    	Narragansett   	  	unk   	NA6  
Endeavor    	3/12/2007    	Narragansett RI USA   	  	  	 
Endeavor    	3/21/2007    	Narragansett   	  	bio   	NA6  
Endeavor    	3/21/2007    	Narragansett RI USA   	  	  	 
Endeavor    	4/2/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	4/2/2007    	Narragansett   	N W Atlantic   	unk   	NA6  
Endeavor    	4/18/2007    	Narragansett   	  	transit   	NA6  
Endeavor    	4/18/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	4/23/2007    	Morehead City, NC   	  	unk   	NA6  
Endeavor    	4/23/2007    	Morehead City NC USA   	  	  	NA6, NA6  
Endeavor    	5/1/2007    	Morehead City NC USA   	  	  	NA6, NA6  
Endeavor    	5/1/2007    	Morehead City, NC   	  	transit   	NA6  
Endeavor    	5/4/2007    	Charleston SC USA   	  	  	NA6, NA6  
Endeavor    	5/4/2007    	Charleston, SC   	  	geo   	NA6  
Endeavor    	5/10/2007    	Charleston SC USA   	  	  	 
Endeavor    	5/10/2007    	Charleston, SC   	  	transit   	NA6  
Endeavor    	5/17/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	5/17/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	5/17/2007    	Narragansett   	N W Atlantic   	unk   	NA6  
Endeavor    	6/13/2007    	Narragansett   	  	port   	NA6  
Endeavor    	6/13/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	6/21/2007    	Narragansett   	N W Atlantic   	unk   	NA6  
Endeavor    	6/21/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	6/21/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	7/18/2007    	Narragansett RI USA   	  	  	 
Endeavor    	9/5/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	10/1/2007    	Narragansett   	N W Atlantic   	unk   	NA6  
Endeavor    	10/1/2007    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	10/15/2007    	Narragansett   	  	unk   	NA6  
Endeavor    	10/20/2007    	Narragansett   	  	unk   	NA6  
Endeavor    	10/22/2007    	Narragansett   	  	unk   	NA6  
Endeavor    	10/26/2007    	Narragansett RI USA   	  	  	 
Endeavor    	1/7/2008    	Narragansett RI USA   	  	  	NA6, NA9  
Endeavor    	3/28/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	5/2/2008    	Narragansett RI USA   	  	  	NA6, AR9  
Endeavor    	5/27/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	6/4/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	6/27/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	7/8/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	7/15/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	7/28/2008    	St. John's Canada   	  	  	 
Endeavor    	7/30/2008    	St. John's Canada   	  	  	 
Endeavor    	8/7/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	8/17/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	9/3/2008    	Narragansett RI USA   	  	  	 
Endeavor    	9/15/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	9/18/2008    	Woods Hole MA USA   	  	  	NA6, NA6  
Endeavor    	9/30/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	10/14/2008    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	12/4/2008    	  	  	  	 
Endeavor    	3/4/2009    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	3/16/2009    	Narragansett RI USA   	  	  	NA6, NA9  
Endeavor    	3/24/2009    	Panama City FL USA   	NA09   	  	NA9, NA9  
Endeavor    	4/6/2009    	Panama City FL USA   	NA09   	  	 
Endeavor    	4/6/2009    	Panama City FL USA   	NA09   	  	 
Endeavor    	4/13/2009    	Port Everglades FL USA   	  	  	 
Endeavor    	4/19/2009    	Port Everglades FL USA   	NA09   	  	NA9, NA9  
Endeavor    	5/6/2009    	Port Everglades FL USA   	SA1   	  	NA9, SA1  
Endeavor    	5/22/2009    	Fortaleza Brazil   	SA1   	  	SA1, SA2  
Endeavor    	6/30/2009    	Walvisbaai Namibia   	NA10   	  	SA2, NA6  
Endeavor    	8/12/2009    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	8/31/2009    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	9/14/2009    	Narragansett RI USA   	  	  	 
Endeavor    	9/17/2009    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	9/28/2009    	Narragansett RI USA   	NE Shelf&Slope   	 
Endeavor    	10/19/2009    	Narragansett RI USA   	NA10   	  	NA6, NA6  
Endeavor    	11/10/2009    	Narragansett RI USA   	NA06   	  	NA6, NA6  
Endeavor    	11/10/2009    	  	  	  	 
Endeavor    	1/1/2010    	Narragansett RI USA   	  	  	 
Endeavor    	2/17/2010    	Narragansett RI USA   	  	  	 
Endeavor    	2/24/2010    	Port Everglades FL USA   	  	  	 
Endeavor    	3/16/2010    	Port Everglades FL USA   	  	  	 
Endeavor    	5/15/2010    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	5/26/2010    	Narragansett RI USA   	  	  	NA6, NA6  
Endeavor    	6/8/2010    	Narragansett RI USA   	  	  	NA6, NA9  
Endeavor    	6/17/2010    	St. Petersburg FL USA   	  	  	NA9, NA9  
Endeavor    	7/4/2010    	St. Petersburg FL USA   	  	  	NA9, NA9  
Endeavor    	7/13/2010    	Bridgetown Barbados   	  	  	NA9, SA1  
Endeavor    	7/25/2010    	Bridgetown Barbados   	  	  	SA1, NA10  
Endeavor    	8/21/2010    	Dakar Senegal   	  	  	NA10, NA6  
Endeavor    	9/8/2010    	Narragansett RI USA   	  	  	NA6, NA6  
